Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Publisher,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
Reading Aloud,,Default Unit,,Stevenson : Master of Ballantine,2020-02-07,,,,,,1979-04-10,,"PROGRAM DESCRIPTION: Series description: William Cavness reads works of literature on-air.  According to Cavness' oral history of the beginnings of Reading Aloud, the series came about, in part, due to the Soviet ban of the work Dr. Zhivago in the Fall of 1958, and the books fourth edition falling out of print in the United States.  As such Dr. Zhivago became the first work Cavness read, and the resulting success, directly lead to the creation of the series which ran until Cavness' retirement from WGBH in 1991.


ITEM DESCRIPTION: 13B
Reading of Master of the Ballantrae by Robert Louis Stevenson",Radio program (Master),Item Type,"Audio Hiss, Print Through, Audio Distortion, Audio Pops and/or Clicks",Technical Notes,Radio Theater,Content Type,,Sound,,,,,,,,,,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155962,,,barcode155962_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode155962/PreservationMaster/barcode155962_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
NOVA,,Default Unit,,Big Energy Gamble  (Energy),2020-02-07,,,,,,2008-04-23,,"PROGRAM DESCRIPTION: Series description: William Cavness reads works of literature on-air.  According to Cavness' oral history of the beginnings of Reading Aloud, the series came about, in part, due to the Soviet ban of the work Dr. Zhivago in the Fall of 1958, and the books fourth edition falling out of print in the United States.  As such Dr. Zhivago became the first work Cavness read, and the resulting success, directly lead to the creation of the series which ran until Cavness' retirement from WGBH in 1991.


ITEM DESCRIPTION: Reel 15B
Reading of Master of the Ballantrae by Robert Louis Stevenson",Original footage,Item Type,,Technical Notes,Interview,Content Type,,Sound,,,,,,,,,,,,,"California State Capitol, Sacramento, CA",,,,,,,,,,,,,,,,,video recording identifier,155968,,,barcode155968_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode155968/PreservationMaster/barcode155968_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"French Chef, The",,Default Unit,,THE FRENCH CHEF,2020-01-31,,,,,,,,"PROGRAM DESCRIPTION: Series Description: 
Premiered locally with three pilot programs in July and August 1962, nationally in Feb. 1963 - approx. 300 shows produced.  1963-1973.

Original series ran 1963 to July 1966, then went into reruns through September 1970.

In October 1970 the new French Chef 200 series was shot in color and taped on the set at WGBH. Included in the programs were footage of Julia�s summer trip to France.

The 1971-1972 season was a tour of the French Classics: 26 half hour programs designed as a refresher course for experienced cooks and as a jet-assist takeoff for beginners.

After a funding scare, Polaroid funded a full 1972-1973 season.  The theme was: The French Chef Faces Life.  Julia shows viewers how to cope with situations that reflect the demands of society, family and lifestyle such as Sudden Company or a three course sit down dinner and getting kids involved in cooking.

NOTE: Beginning August 6, 1972,  The French Chef repeated popular shows as a captioned edition.


ITEM DESCRIPTION: Audio reel from early  French Chef program.  Contains eight minute cooking segment and two �same endings�.  Material undated.   Transfer of material made 8/1/ 98, Transfer #2.",Audio dub,Item Type,"Audio Hum, Audio Hiss, Audio Distortion, Audio Pops and/or Clicks",Technical Notes,Instructional,Content Type,,Sound,,,,,,,,,,,,,,,Film and Television,Food and Cooking,,,,,,,,,,,,,,video recording identifier,157979,,,barcode157979_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode157979/PreservationMaster/barcode157979_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: 


ITEM DESCRIPTION: Donald Quayle: �Statement immediately after sign-on�.  10/14/1961. Announcement about state of WGBH in the aftermath of fire which destroyed headquarters, Transfer of material made 8/1/ 98, Transfer #5.",Audio dub,Item Type,"2/7/2020 SB: There is no content in the right channel. This was captured mono., Audio Hiss",Technical Notes,News Report,Content Type,,Sound,,,,,,,,,,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,157986,,,barcode157986_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode157986/PreservationMaster/barcode157986_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-01-31,,,,,,,,"PROGRAM DESCRIPTION: 


ITEM DESCRIPTION: �Old FM Promo Carts/�GBH.�   Original material undated.  Transfer of material made 8/1/ 98, Transfer #6. Asset includes a variety of promos for WGBH programs, including ""Prelude,"" ""Morning Pro Musica,"" ""Music for the Afternoon,"" ""Pantechnicon,"" ""Ideas,"" ""The Third Program,"" and ""The Night Program."" ",Audio dub,Item Type,"1/31/2020 SB: Technical errors at 10:24 are on the DAT., Audio Distortion, Audio Hum, Audio Hiss, Audio Pops and/or Clicks",Technical Notes,Promo,Content Type,,Sound,,,,,,,,,,,,,,,Theater,Music,,,,,,,,,,,,,,video recording identifier,157989,,,barcode157989_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode157989/PreservationMaster/barcode157989_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: 


ITEM DESCRIPTION: � Lowell Institute 20th Anniversary.�   Ivor A. Richards reads from Plato�s Republic recreating first Lowell Institute broadcast of 2/3/1947.   Original material dated 2/3/1967.  Transfer of material made 8/1/ 98, Transfer #7.",Audio dub,Item Type,"1/31/2020 SB: Flutter at the end of the recording and the abrupt skip at 1:33 is on the DAT., Audio Flutter, Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",Technical Notes,Radio Theater,Content Type,,Sound,,,,,,,,,,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,157992,,,barcode157992_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode157992/PreservationMaster/barcode157992_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-01-31,,,,,,,,"PROGRAM DESCRIPTION: 


ITEM DESCRIPTION: Fundraising Dinner /Program-4/26/1963.  �Voices: T. F. Conley, BC, Lyons, Leverett Saltonstall, Pres. Kennedy on Cuba Crisis, Dean Rusk, Adlai Stevenson (?) of Security Council, G. Wllace Woodworth, JFK at BU convocation, Robert Frost, Fund Pitch.  WWP at BSO.� Transfer of material made 8/1/ 98, Transfer #8.",Audio dub,Item Type,"Audio Hiss, Audio Distortion",Technical Notes,Fundraiser,Content Type,,Sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,video recording identifier,157995,,,barcode157995_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode157995/PreservationMaster/barcode157995_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-01-31,,,,,,,,"PROGRAM DESCRIPTION: 


ITEM DESCRIPTION: �Station History (announce tape from fire week).�  Original material taped 10/1961, dubbed 1/1980.  Transfer of material made 8/2/ 98, Transfer #12.",Audio dub,Item Type,"Print Through, Audio Distortion, Audio Hiss",Technical Notes,Fundraiser,Content Type,,Sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,video recording identifier,158007,,,barcode158007_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode158007/PreservationMaster/barcode158007_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Making Things Work,,Default Unit,,Care of Books,2020-01-02,,,,,,1972-01-06,,"PROGRAM DESCRIPTION: Series Description: WGBH program (C. 1971) hosted by Thalassa Cruso on fix-it projects around the house - how to mend household items, remove stains.


ITEM DESCRIPTION: Host demonstrates how to care for book collections of viewers, describing how books react to different physical conditions, and offering advice on how to store and care for books so they don't mold and rot ",Green Label Master (WGBH program),Item Type,,Technical Notes,Educational,Content Type,,Moving Image,,,,,,,,,,,,,,,Antiques and Collectibles,Home Improvement,,,,,,,,,,,,,,video recording identifier,159097,,,barcode159097.mov,http://hls-streaming.mla-int.wgbh.org/avalon/22807/barcode159097/PreservationMaster/barcode159097.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
FRONTLINE,,Default Unit,,Behind the Mask: The IRA and Sinn Fein,2020-01-31,,,,,,,,"PROGRAM DESCRIPTION: The most sophisticated guerrilla movement in the world, the Irish Republican Army (IRA), and its equally formidable political arm, Sinn Fein, have waged a bloody campaign in Northern Ireland for more than a quarter of a century. FRONTLINE traces the history of the IRA and Sinn Fein, examining their tactics, weapons and operational structures, and assesses the chances of a final resolution to one of the world's oldest and bloodiest conflicts.


ITEM DESCRIPTION: IRA - replacement section  - 2:16:40
short section of replacement audio in documentary",Audio Master (full mix),Item Type,"1/31/2020 SB: Content is very short. Dropouts are on the DAT., Audio Hum, Audio Hiss, End Cut Off",Technical Notes,Documentary,Content Type,,Sound,,,,,,,,,,,,,,,History,,,,,,,,,,,,,,,video recording identifier,167706,,,barcode167706_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode167706/PreservationMaster/barcode167706_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,,,,,,1998-06-05,,"PROGRAM DESCRIPTION: Radio.  A one-hour, weekday radio news magazine offering a mix of news, features, interviews, and music from around the globe.

---

PRI's The World, in partnership with WGBH.

Each weekday, host Marco Werman and his team of producers bring you the world's most interesting stories in an hour of radio that reminds us just how small our planet really is. The World is heard on over 300 stations across North America.

Description source - http://www.pri.org/programs/the-world (3/28/2016)


ITEM DESCRIPTION: 6/5/1998
3 PM AIRTIME
Broadcast of The World, hosted by Tony Khan, covering people fleeing Kosovo, and Iran's soccer team",Radio program (Master),Item Type,"Audio Distortion, Audio Pops and/or Clicks",Technical Notes,News Report,Content Type,,Sound,,,,,,,,,,,,,,,News and Current Events,Peoples of the Middle East,Peoples of Northern Asia,Music,,,,,,,,,,,,video recording identifier,174430,,,barcode174430_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode174430/PreservationMaster/barcode174430_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
,,Default Unit,,Adlai Stevenson: Us Vietnam Policy,2020-02-07,,,,,,1965-05-14,,"PROGRAM DESCRIPTION: Radio


ITEM DESCRIPTION: An interview between BBC's Thomas Barman, Senior Diplomatic Correspondent, and Adlai Stevenson, United Nations Ambassador on American-Vietnamese policy. The interview took place just before Stevenson's death and includes discussions of American liberals' reactions to the Vietnam War, Stevenson's hopes for Vietnam, the role of the UN, and ways that peace might be reached.",Audio dub,Item Type,"Audio Hiss, Audio Pops and/or Clicks, Print Through, Audio Distortion, Audio Hum",Technical Notes,Interview,Content Type,,Sound,,,,,,,,,,,,,,,Politics and Government,War and Global Conflict,,,,,,,,,,,,,,video recording identifier,183409,,,barcode183409_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode183409/PreservationMaster/barcode183409_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
,,Default Unit,,Tribute To Malvina Reynolds,2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: Radio

Malvina Reynolds (1900-1978), influential songwriter and political activist, was a white-haired crusader with a raspy voice and an uncompromising attitude who wrote hundreds of memorable songs including the counterculture favorite, ""Little Boxes."" This tribute presents a selection Reynolds' songs by Pete Seeger, Rosalie Sorrels, Sally Rogers and other Reynolds inspired artists.


ITEM DESCRIPTION: A tribute to Malvina Reynolds, a songwriter of many protest and activist songs. The program features songs written by Reynolds, including her best known songs ""Little Boxes"" and ""What Have They Done To The Rain"". Reynolds is also interviewed about her life and her thoughts on contemporary issues.",Radio program (Master),Item Type,"Audio Hum, Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",Technical Notes,Interview,Content Type,,Sound,,,,,,,,,,,,,,,Music,Protest and Public Advocacy,Performing Arts,,,,,,,,,,,,,video recording identifier,183410,,,barcode183410_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode183410/PreservationMaster/barcode183410_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
,,Default Unit,,La Boheme,2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: Radio


ITEM DESCRIPTION: Performance of Acts 3 and 4 of La Boheme, performed by members of the Cambridge Opera Workshop. Between Acts 3 and 4, a brief summary of the fourth act is provided. Reel 4 of 5, MONO.",Original recording,Item Type,"2/7/2020 SB: High frequencies fluctuate at the start., End Cut Off, Audio Hiss, Audio Distortion, Audio Pops and/or Clicks",Technical Notes,Performance in a Studio,Content Type,,Sound,,,,,,,,,,,,,,,Music,Performing Arts,,,,,,,,,,,,,,video recording identifier,183411,,,barcode183411_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode183411/PreservationMaster/barcode183411_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
,,Default Unit,,La Boheme,2020-02-07,,,,,,1978-12-02,,"PROGRAM DESCRIPTION: Radio


ITEM DESCRIPTION: Performance of La Boheme, Act 3, performed by members of the Cambridge Opera Workshop. A brief summary of Act 3 is given, followed by its performance. Reel 3 of 5; Story of 3rd act of La Boheme; Nicholas Kasindis as Marcello; Elizabeth Feeney as Mimi; Rene Rencourt as Rudolph; Julia Shelley as Musette.  MONO",Original recording,Item Type,"2/7/2020 SB: High frequencies fluctuate at the start., End Cut Off, Audio Hiss, Audio Distortion, Audio Pops and/or Clicks",Technical Notes,Performance in a Studio,Content Type,,Sound,,,,,,,,,,,,,,,Music,Performing Arts,,,,,,,,,,,,,,video recording identifier,183412,,,barcode183412_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode183412/PreservationMaster/barcode183412_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
,,Default Unit,,La Boheme,2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: Radio


ITEM DESCRIPTION: Performance of La Boheme, performed by members of the Cambridge Opera Workshop. Reel 2 of 5, MONO",Original recording,Item Type,"2/7/2020 JF: False starts and speed fluctuations at the beginning are inherent to the reel., Audio Hiss, Beginning Cut Off, Audio Hum, Audio Pops and/or Clicks, Audio Distortion",Technical Notes,Performance in a Studio,Content Type,,Sound,,,,,,,,,,,,,,,Music,Performing Arts,,,,,,,,,,,,,,video recording identifier,183413,,,barcode183413_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode183413/PreservationMaster/barcode183413_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Et Cetera,,Default Unit,,Bringing It All Back Home,2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: Radio. Music and commentary from fans about Bob Dylan's music and songwriting.


ITEM DESCRIPTION: Fred Barzyk documentary about Bob Dylan's move from acoustic to electric - Bringing it All Back Home. The documentary features Bob Dylan's songs and opinions of his work from his fans.",Radio program (Master),Item Type,"2/7/2020 SB: Content starts with room tone., Audio Hiss, Audio Hum, Audio Pops and/or Clicks, Audio Distortion",Technical Notes,Documentary,Content Type,,Sound,,,,,,,,,,,,,,,Music,,,,,,,,,,,,,,,video recording identifier,183414,,,barcode183414_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode183414/PreservationMaster/barcode183414_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
,,Default Unit,,Introduction To Owen Wingrave,2020-02-10,,,,,,,,"PROGRAM DESCRIPTION: Radio.  Britten opera.


ITEM DESCRIPTION: John Amis introduction to Owen Wingrave, an opera by Benjamin Britten. Amis interviews Myfanwy Piper, the librettist, and Colin Graham, the co-director, about the opera and how it came into being. The singers also provide information about their roles, including John Shirley-Quirk in the role of Spencer Coyle, Nigel Douglas in the role of Lechmere, Benjamin Luxon as Owen Wingrave, Heather Harper in the role of Mrs. Coyle, and Jennifer Vyvyan in the role of Mrs. Julian. Singer Peter Pears also gives an interview on working with Benjamin Britten, and the program ends with an interview with Benjamin Britten himself.

Container Notes: Issue 22-71; John Amis; background hiss. may be broadcast twice prior to 9.30.1971 and not thereafter, pls. return tape.  Use as is or in conjunction with Opera Owen Wingrave",Radio program (Master),Item Type,"2/10/2020 SB: Content is progressively distorted and subtlety fluctuates as the recording progresses. This is on the reel., Audio Hiss, Audio Hum, Print Through, Audio Distortion, Audio Pops and/or Clicks, Audio Buzz",Technical Notes,Documentary,Content Type,,Sound,,,,,,,,,,,,,,,Music,Performing Arts,,,,,,,,,,,,,,video recording identifier,183415,,,barcode183415_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode183415/PreservationMaster/barcode183415_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
La Plaza,,Default Unit,,Who's Cleaning Boston,2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: Teresa Martinez was a teacher in her homeland of Colombia and Marcos Febles a successful couturier.  As newcomers to North America, these two individuals share something in common - they clean for a living. LA PLAZA goes beyond Boston's nine-to-five hours to talk to five Latino cleaning people about their past lives, present-day experiences, and their outlook on the future.


ITEM DESCRIPTION: � LA PLAZA - WHO'S CLEANING BOSTON #15
b roll of people employed as custodial staff going about their day, working in various locations. ",Original footage,Item Type,"1/21/2020 APr: Audio content underneath bars., Audio Hiss, Video Picture Breaks up",Technical Notes,Scenics / B-roll,Content Type,,Moving Image,,,,,,,,,,,,,,,Film and Television,Employment and Labor,Local Communities,,,,,,,,,,,,,video recording identifier,192878,,,barcode192878.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode192878/PreservationMaster/barcode192878.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
La Plaza,,Default Unit,,Who's Cleaning Boston,2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: Teresa Martinez was a teacher in her homeland of Colombia and Marcos Febles a successful couturier.  As newcomers to North America, these two individuals share something in common - they clean for a living. LA PLAZA goes beyond Boston's nine-to-five hours to talk to five Latino cleaning people about their past lives, present-day experiences, and their outlook on the future.


ITEM DESCRIPTION: LA PLAZA - WHO'S CLEANING BOSTON #16
b roll of people employed as custodial staff going about their day, working in various locations. ",Original footage,Item Type,"1/21/2020 APr: Audio content underneath bars. , Audio Hiss",Technical Notes,Scenics / B-roll,Content Type,,Moving Image,,,,,,,,,,,,,,,Employment and Labor,Film and Telelvision,,,,,,,,,,,,,,video recording identifier,192879,,,barcode192879.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode192879/PreservationMaster/barcode192879.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: Series Description: 
NIGHTLY NEWS WITH CHRISTOPHER LYDON AND CARMEN FIELDS
Began January 1976.  Replaced evening news show EVENING COMPASS. Original host: Steve Nevas.  Other anchors, Christopher Lydon (1977-91) and Gail Harris (1983). In 1980 - hour long.  Ended in 1991.

(PREDECESSORS:  Louis Lyons began news operations at WGBH in 1952.  The News at 10 began in 1966.  The Reporters premiered in 1970.  The Evening Compass started in 1974.)


ITEM DESCRIPTION: Cameras in court Byrne visuals
Reporter: Griffith
Silent footage of news clippings and court artist renderings",News Tape,Item Type,"1/23/2020 EMu: Breakups over bars at top. Static between bars at top. Breakups at bottom of frame due to poor tracking. Audio fluctuates between left and right channel. ; Analog Video Dropouts, Video Picture Breaks up, Audio Hiss",Technical Notes,News Report,Content Type,,Moving Image,,,,,,,,,,,,,,,News and Current Events,Social Issues - Homophobia,Politics and Government,Religion,Protest and Public Advocacy,Employment and Labor,Queer Affairs,Queer Affairs - Gay Affairs,Queer Affairs - Lesbian Affairs,Queer Affairs - Bisexual Affairs,,,,,,video recording identifier,193809,,,barcode193809.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode193809/PreservationMaster/barcode193809.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,1978-03-10,,"PROGRAM DESCRIPTION: Series Description: 
NIGHTLY NEWS WITH CHRISTOPHER LYDON AND CARMEN FIELDS
Began January 1976.  Replaced evening news show EVENING COMPASS. Original host: Steve Nevas.  Other anchors, Christopher Lydon (1977-91) and Gail Harris (1983). In 1980 - hour long.  Ended in 1991.

(PREDECESSORS:  Louis Lyons began news operations at WGBH in 1952.  The News at 10 began in 1966.  The Reporters premiered in 1970.  The Evening Compass started in 1974.)


ITEM DESCRIPTION: Silent panning footage of photos for use in news clip, including cameras in court, visals of district attorney Garrett H. Byrne
Reporter: Griffith",News Tape,Item Type,"1/23/2020 EMu: No tone over bars at top. No audio. Static tail. No timecode.  , Analog Video Dropouts, Audio Hiss, Video Picture Breaks up, Audio Buzz",Technical Notes,News Report,Content Type,,Moving Image,,,,,,,,,,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,193810,,,barcode193810.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode193810/PreservationMaster/barcode193810.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,1978-03-10,,"PROGRAM DESCRIPTION: Series Description: 
NIGHTLY NEWS WITH CHRISTOPHER LYDON AND CARMEN FIELDS
Began January 1976.  Replaced evening news show EVENING COMPASS. Original host: Steve Nevas.  Other anchors, Christopher Lydon (1977-91) and Gail Harris (1983). In 1980 - hour long.  Ended in 1991.

(PREDECESSORS:  Louis Lyons began news operations at WGBH in 1952.  The News at 10 began in 1966.  The Reporters premiered in 1970.  The Evening Compass started in 1974.)


ITEM DESCRIPTION: Cameras in court Byrne interview reel 2
Reporter: Griffith
Interview with District Attorney Byrne about payment ",News Tape,Item Type,"1/22/2020 EMu: No tone over bars at top. No audio over footage. Black and white content. Transitional breakups. No timecode. , Analog Video Dropouts, Video Picture Breaks up",Technical Notes,News Report,Content Type,,Moving Image,,,,,,,,,,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,193811,,,barcode193811.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode193811/PreservationMaster/barcode193811.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,1983-09-09,,"PROGRAM DESCRIPTION: Series Description: 
NIGHTLY NEWS WITH CHRISTOPHER LYDON AND CARMEN FIELDS
Began January 1976.  Replaced evening news show EVENING COMPASS. Original host: Steve Nevas.  Other anchors, Christopher Lydon (1977-91) and Gail Harris (1983). In 1980 - hour long.  Ended in 1991.

(PREDECESSORS:  Louis Lyons began news operations at WGBH in 1952.  The News at 10 began in 1966.  The Reporters premiered in 1970.  The Evening Compass started in 1974.)


ITEM DESCRIPTION: Meg Vaillancourt field tape
Men and Women Voters
news report on women dissatisfied with reagan administration, later interview about fishing",News Tape,Item Type,"1/23/2020 EMu: Pops and clicks inherent to tape. Dropouts over footage at times. No timecode. Switch point present at times., No Bars and Tone, Audio Hiss, Analog Video Dropouts, Video Noise",Technical Notes,News Report,Content Type,,Moving Image,,,,,,,,,,,,,,,News and Current Events,Public Works,,,,,,,,,,,,,,video recording identifier,193814,,,barcode193814.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode193814/PreservationMaster/barcode193814.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,,,"PROGRAM DESCRIPTION: Series Description: 
NIGHTLY NEWS WITH CHRISTOPHER LYDON AND CARMEN FIELDS
Began January 1976.  Replaced evening news show EVENING COMPASS. Original host: Steve Nevas.  Other anchors, Christopher Lydon (1977-91) and Gail Harris (1983). In 1980 - hour long.  Ended in 1991.

(PREDECESSORS:  Louis Lyons began news operations at WGBH in 1952.  The News at 10 began in 1966.  The Reporters premiered in 1970.  The Evening Compass started in 1974.)


ITEM DESCRIPTION: Agent Orange, May 7
Reporter: Meg Vaillancourt
News Report on history of Agent Orange",News Tape,Item Type,"1/22/2020 EMu: Audio over bars at top unrelated to footage. Multiple bars. Audio plays over bars at tail. Static between segments at times. Audio levels fluctuate between channels.  Rolling at tail inherent to tape. , Analog Video Dropouts, Video Picture Breaks up, Audio Hiss, End Cut Off",Technical Notes,News Report,Content Type,,Moving Image,,,,,,,,,,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,193815,,,barcode193815.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode193815/PreservationMaster/barcode193815.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,1984-10-19,,"PROGRAM DESCRIPTION: Series Description: 
NIGHTLY NEWS WITH CHRISTOPHER LYDON AND CARMEN FIELDS
Began January 1976.  Replaced evening news show EVENING COMPASS. Original host: Steve Nevas.  Other anchors, Christopher Lydon (1977-91) and Gail Harris (1983). In 1980 - hour long.  Ended in 1991.

(PREDECESSORS:  Louis Lyons began news operations at WGBH in 1952.  The News at 10 began in 1966.  The Reporters premiered in 1970.  The Evening Compass started in 1974.)


ITEM DESCRIPTION: Meg Vaillancourt field tape
Citgo, Nov. 17
news segment about citgo sign",News Tape,Item Type,"1/20/2020 EMu: Breakups over black at top. Rolling over bars at top inherent to tape. Two separate mono channels.  , Audio Hiss, Video Picture Breaks up",Technical Notes,News Report,Content Type,,Moving Image,,,,,,,,,,,,,,,Theater,,,,,,,,,,,,,,,video recording identifier,193845,,,barcode193845.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode193845/PreservationMaster/barcode193845.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
