Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Publisher,Genre,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
"French Chef, The",,Default Unit,,THE FRENCH CHEF,2500-01-01,,,,,,,,"“French Chef Theme Audition Copy-Not for air. Piano only version of French Chef theme with other interesting auditions.” Transfer of material made 8/2/ 98, Transfer #11.",Music,local,,general,,,,,,,,,,,,,,,,,video recording identifier,134145,,,barcode134145_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode134145/PreservationMaster/barcode134145_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),1905-05-14,,,,,,,,"“Station History (announce tape from fire week).” Original material taped 10/1961, dubbed 1/1980. Transfer of material made 8/2/ 98, Transfer #12.",Audio dub,local,,general,,,,,,,,,,,,,,,,,video recording identifier,158007,,,barcode158007_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode158007/PreservationMaster/barcode158007_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Note To You, A",,Default Unit,,"Appassionata Sonata, The",1998-02-08,,,,,,,,"9701
 Note: DAT cassette is contained in “5 inch reel” box",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,37938,,,barcode37938_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode37938/PreservationMaster/barcode37938_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Note To You, A",,Default Unit,,"Music Shelf, The",2500-01-01,,,,,,,,"9702
 Note: DAT cassette is contained in “5 inch reel” box",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,37939,,,barcode37939_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode37939/PreservationMaster/barcode37939_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Note To You, A",,Default Unit,,Great Program Music: Romeo And Juliet,1996-12-21,,,,,,,,"9703
 Note: DAT cassette is contained in “5 inch reel” box",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,37940,,,barcode37940_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode37940/PreservationMaster/barcode37940_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Note To You, A",,Default Unit,,Mozart Sings,1996-12-11,,,,,,,,"9704
 Note: DAT cassette is contained in “5 inch reel” box",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,37941,,,barcode37941_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode37941/PreservationMaster/barcode37941_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,(Untitled Program),2500-01-01,,,,,,,,24 track master,Audio Master (full mix),local,,general,,,,,,,,,,,,,,,,,video recording identifier,285460,,,barcode285460_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode285460/PreservationMaster/barcode285460_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,Introduction To Owen Wingrave,1905-05-24,,,,,,,,"Container Notes: Issue 22-71; John Amis; background hiss. may be broadcast twice prior to 9.30.1971 and not thereafter, pls. return tape. Use as is or in conjunction with Opera Owen Wingrave",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,183415,,,barcode183415_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183415/PreservationMaster/barcode183415_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Et Cetera,,Default Unit,,Bringing It All Back Home,2500-01-01,,,,,,,,"Fred Barzyk, documentary about Bob Dylan's move from acoustic to electric - Bringing it All Back Home",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,183414,,,barcode183414_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183414/PreservationMaster/barcode183414_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,La Boheme,2500-01-01,,,,,,,,"Reel 2 of 5, MONO",Original recording,local,,general,,,,,,,,,,,,,,,,,video recording identifier,183413,,,barcode183413_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183413/PreservationMaster/barcode183413_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,La Boheme,2500-01-01,,,,,,,,Reel 3 of 5; Story of 3rd act of La Boheme; Nicholas Kasindis as Marcello; Elizabeth Feeney as Mimi; Rene Rencourt as Rudolph; Julia Shelley as Musette. MONO,Original recording,local,,general,,,,,,,,,,,,,,,,,video recording identifier,183412,,,barcode183412_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183412/PreservationMaster/barcode183412_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,La Boheme,2500-01-01,,,,,,,,"Reel 4 of 5, MONO",Original recording,local,,general,,,,,,,,,,,,,,,,,video recording identifier,183411,,,barcode183411_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183411/PreservationMaster/barcode183411_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,Tribute To Malvina Reynolds,2500-01-01,,,,,,,,songwriter,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,183410,,,barcode183410_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183410/PreservationMaster/barcode183410_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,Adlai Stevenson: Us Vietnam Policy,2500-01-01,,,,,,,,Indian Press review; correspondence included; 1. Reaction to U.S. actions in Santo Domingo; 2. Israeli-Arab relations discussed; 3. 20th anniversary of the fall of Nazi Germany; 4. Brief press editorials,Audio dub,local,,general,,,,,,,,,,,,,,,,,video recording identifier,183409,,,barcode183409_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183409/PreservationMaster/barcode183409_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
La Plaza,,Default Unit,,Who's Cleaning Boston,1990-01-06,,,,,,,,• LA PLAZA - WHO'S CLEANING BOSTON #15,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,192878,,,barcode192878.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode192878/PreservationMaster/barcode192878.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
La Plaza,,Default Unit,,Who's Cleaning Boston,1990-01-06,,,,,,,,LA PLAZA - WHO'S CLEANING BOSTON #16,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,192879,,,barcode192879.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode192879/PreservationMaster/barcode192879.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Science Journal,,Default Unit,,(Untitled Program),2500-01-01,,,,,,,,Science Journal: Pilot 89-897-022-001,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,150542,,,barcode150542_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode150542/PreservationMaster/barcode150542_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
WGBH Journal,,Default Unit,,WGBH JOURNAL,2500-01-01,,,,,,,,Host Greg Fitzgerald; Amy Sands reports on women in Boston's black community learning how to defend themselves with firearms; Henrietta Davis visits project SCALE that fights adult illiteracy; David Freudberg learns about the MBTA (Part 4 of a series on the T); Shelly Roth speaks to an environmental lobbyist who fights for non-smokers' rights.,Radio program (Master),local,Magazine,general,,,,,Magazine,,,,,,"Women and Women's History, Education, Local Communities, Transportation and Public Works, News and Current Events, US Ethnic Minorities, Medicine",,,,,,video recording identifier,229165,,,barcode229165_01.wav,,,https://avalon.wgbh.org/hls/avalon/barcode229165_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Stevenson : Mystery of Edwindrood,1979-01-31,,,,,,,,,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155882,,,barcode155882_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155882/PreservationMaster/barcode155882_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Stevenson : Mystery of Edwindrood,1979-01-31,,,,,,,,,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155886,,,barcode155886_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155886/PreservationMaster/barcode155886_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Stevenson : Mystery of Edwindrood,1979-01-31,,,,,,,,,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155889,,,barcode155889_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155889/PreservationMaster/barcode155889_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Stevenson : Mystery of Edwindrood,1979-01-31,,,,,,,,,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,155891,,,barcode155891_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155891/PreservationMaster/barcode155891_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,1979-07-24,,,,,,,,Reel 16 of 67,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,149240,,,barcode149240_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode149240/PreservationMaster/barcode149240_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,1979-07-24,,,,,,,,Reel 17 of 67,Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,149241,,,barcode149241_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode149241/PreservationMaster/barcode149241_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,Field Tape: JIMMY CARTER IN FLORIDA,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194117,,,barcode194117.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode194117.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,field tape: JIMMY CARTER AFTER DEBATE,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194118,,,barcode194118.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode194118.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,Field Tape: JIMMY CARTER IN SOUTH,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194119,,,barcode194119.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode194119.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,Field Tape: COLUMBUS DAY PARADE,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194120,,,barcode194120.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode194120.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,Field Tape: JIMMY CARTER PLAINS,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194121,,,barcode194121.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode194121.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,Field Tape: JIMMY CARTER IN CALIFORNIA,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194122,,,barcode194122.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode194122.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,Field Tape: JIMMY CARTER GARMENT WORKERS,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194123,,,barcode194123.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode194123.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,Field Tape: JIMMY CARTER IN MISSOURI,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194124,,,barcode194124.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode194124.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,field tape: TED KENNEDY CONVENTION SPEECH,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194139,,,barcode194139.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194139/PreservationMaster/barcode194139.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,Field Tape: JIMMY CARTER IN MISSOURI,News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194114,,,barcode194114.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194114/PreservationMaster/barcode194114.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2500-01-01,,,,,,,,"Jimmy Carter - Ronald Reagan Debate, reel 1",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,194112,,,barcode194112.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode194112/PreservationMaster/barcode194112.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Daufuskie Island: Land Where My Fathers Died,1991-02-21,,,,,,,,No Information,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227055,,,barcode227055.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227055/PreservationMaster/barcode227055.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Dr. Debra Prothrow-Stith swearing in part 1,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227431,,,barcode227431.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227431/PreservationMaster/barcode227431.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Dr. Debra Prothrow-Stith swearing in part 2,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227432,,,barcode227432.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227432/PreservationMaster/barcode227432.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Crime And Punishment,1989-04-27,,,,,,,,Minister Don Muhammad on drugs part 1,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227433,,,barcode227433.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227433/PreservationMaster/barcode227433.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Crime And Punishment,1989-04-27,,,,,,,,Minister Don Muhammad on drugs part 2,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227434,,,barcode227434.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227434/PreservationMaster/barcode227434.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Crime And Punishment,1989-04-27,,,,,,,,Sonoma Street at night,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227436,,,barcode227436.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227436/PreservationMaster/barcode227436.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Crime And Punishment,1989-04-27,,,,,,,,Amanda Houston interview,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227437,,,barcode227437.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227437/PreservationMaster/barcode227437.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Crime And Punishment,1989-04-27,,,,,,,,Jack Cullen interview,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227435,,,barcode227435.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227435/PreservationMaster/barcode227435.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Paula Elliot and Friends Jazz band,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227705,,,barcode227705.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227705/PreservationMaster/barcode227705.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Beth Deare & Barbara Barrow-Murray speak 20 yrs,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228034,,,barcode228034.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228034/PreservationMaster/barcode228034.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Andrew Jones walking in neighborhood (Washington St. ),Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228033,,,barcode228033.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228033/PreservationMaster/barcode228033.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Andrew Jones interview in his apartment,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228032,,,barcode228032.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228032/PreservationMaster/barcode228032.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Andrew Jones performing violin w/ symphony,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228031,,,barcode228031.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228031/PreservationMaster/barcode228031.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Impressions,1985-10-24,,,,,,,,"""Impressions"" Danny Sloan dance company",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228030,,,barcode228030.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228030/PreservationMaster/barcode228030.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Sistren Theatre group interview,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228029,,,barcode228029.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228029/PreservationMaster/barcode228029.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,A. Philip Randolph statue dedication part 1,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228028,,,barcode228028.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228028/PreservationMaster/barcode228028.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,A.Philp Randolph statue dedication part 2,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228027,,,barcode228027.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228027/PreservationMaster/barcode228027.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,A.Philp Randolph statue dedication part 3,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228026,,,barcode228026.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228026/PreservationMaster/barcode228026.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,A.Philp Randolph Plaque/ Back Bay station,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228025,,,barcode228025.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228025/PreservationMaster/barcode228025.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,A.Philp Randolph statue at rush hour.,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228024,,,barcode228024.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228024/PreservationMaster/barcode228024.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Tina Allen interview (sculptor) A.Phillip Randolph,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228023,,,barcode228023.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228023/PreservationMaster/barcode228023.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Theron Brown interview (S.C.P.) part 1,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228022,,,barcode228022.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228022/PreservationMaster/barcode228022.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Theron Brown interview (S.C.P.) part 2,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228021,,,barcode228021.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228021/PreservationMaster/barcode228021.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Badnick family interview part 1,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228020,,,barcode228020.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228020/PreservationMaster/barcode228020.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Badnick family interview part 2,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228019,,,barcode228019.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228019/PreservationMaster/barcode228019.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Hyannis: Walking tour of car w/Chef Chandler,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228018,,,barcode228018.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228018/PreservationMaster/barcode228018.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"Cox Bldg. opening/ Rev. Haynes, Cruz etc....",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227991,,,barcode227991.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227991/PreservationMaster/barcode227991.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Tenant Captains 1 tape #8,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227990,,,barcode227990.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227990/PreservationMaster/barcode227990.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Tenant Captains 2 / Tenant Assn. meeting tape #9,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227989,,,barcode227989.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227989/PreservationMaster/barcode227989.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Babatunde Olatunji : Workshop 1,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,227988,,,barcode227988.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode227988/PreservationMaster/barcode227988.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Babatunde Olatunji : Workshop 3,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228140,,,barcode228140.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228140/PreservationMaster/barcode228140.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,Babatunde Olatunji interview 2,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228139,,,barcode228139.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228139/PreservationMaster/barcode228139.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),1968-07-15,,,,,,,,"Elliott's stand ups, intro to Babatunde Olatunji",Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,228138,,,barcode228138.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode228138/PreservationMaster/barcode228138.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
