Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Publisher,Note,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
Reading Aloud,,Default Unit,,Stevenson : Mystery of Edwindrood,2020-02-07,,,,,,1979-01-24,,Episode of Reading Aloud covering Charles Dickens' Mystery of Edwindrood,Radio program (Master),local,,general,"Print Through, Audio Hiss, Audio Pops and/or Clicks",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155891,,,barcode155891_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155891/PreservationMaster/barcode155891_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Stevenson : Master of Ballantine,2020-02-07,,,,,,1979-04-10,,Reel 15BReading of Master of the Ballantrae by Robert Louis Stevenson,Radio program (Master),local,,general,"Audio Hiss, Print Through, Audio Distortion, Audio Pops and/or Clicks",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155962,,,barcode155962_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155962/PreservationMaster/barcode155962_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
NOVA,,Default Unit,,Big Energy Gamble  (Energy),2020-02-07,,,,,,2008-04-23,,CA Governor Arnold Schwarzenegger interview,Original footage,local,,general,,general,,,,,,,,,,,,Interview,,,,"California State Capitol, Sacramento, CA",,,,,,,,,,,,,,,,,video recording identifier,155968,,,barcode155968_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155968/PreservationMaster/barcode155968_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
"French Chef, The",,Default Unit,,THE FRENCH CHEF,2020-01-31,,,,,,,,"Audio reel from early  French Chef program.  Contains eight minute cooking segment and two “same endings”.  Material undated.   Transfer of material made 8/1/ 98, Transfer #2.",Audio dub,local,,general,"Audio Hum, Audio Hiss, Audio Distortion, Audio Pops and/or Clicks",general,,,,,,,,,,,,Instructional,,,,,,Film and Television,Food and Cooking,,,,,,,,,,,,,,video recording identifier,157979,,,barcode157979_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157979/PreservationMaster/barcode157979_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-02-07,,,,,,,,"Donald Quayle: “Statement immediately after sign-on”.  10/14/1961. Announcement about state of WGBH in the aftermath of fire which destroyed headquarters, Transfer of material made 8/1/ 98, Transfer #5.",Audio dub,local,,general,"2/7/2020 SB: There is no content in the right channel. This was captured mono., Audio Hiss",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,157986,,,barcode157986_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157986/PreservationMaster/barcode157986_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-01-31,,,,,,,,"“Old FM Promo Carts/’GBH.”   Original material undated.  Transfer of material made 8/1/ 98, Transfer #6. Asset includes a variety of promos for WGBH programs, including ""Prelude,"" ""Morning Pro Musica,"" ""Music for the Afternoon,"" ""Pantechnicon,"" ""Ideas,"" ""The Third Program,"" and ""The Night Program."" ",Audio dub,local,,general,"1/31/2020 SB: Technical errors at 10:24 are on the DAT., Audio Distortion, Audio Hum, Audio Hiss, Audio Pops and/or Clicks",general,,,,,,,,,,,,Promo,,,,,,Theater,Music,,,,,,,,,,,,,,video recording identifier,157989,,,barcode157989_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157989/PreservationMaster/barcode157989_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-02-07,,,,,,,,"“ Lowell Institute 20th Anniversary.”   Ivor A. Richards reads from Plato’s Republic recreating first Lowell Institute broadcast of 2/3/1947.   Original material dated 2/3/1967.  Transfer of material made 8/1/ 98, Transfer #7.",Audio dub,local,,general,"1/31/2020 SB: Flutter at the end of the recording and the abrupt skip at 1:33 is on the DAT., Audio Flutter, Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,157992,,,barcode157992_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157992/PreservationMaster/barcode157992_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-01-31,,,,,,,,"Fundraising Dinner /Program-4/26/1963.  “Voices: T. F. Conley, BC, Lyons, Leverett Saltonstall, Pres. Kennedy on Cuba Crisis, Dean Rusk, Adlai Stevenson (?) of Security Council, G. Wllace Woodworth, JFK at BU convocation, Robert Frost, Fund Pitch.  WWP at BSO.” Transfer of material made 8/1/ 98, Transfer #8.",Audio dub,local,,general,"Audio Hiss, Audio Distortion",general,,,,,,,,,,,,Fundraiser,,,,,,,,,,,,,,,,,,,,,video recording identifier,157995,,,barcode157995_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157995/PreservationMaster/barcode157995_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2020-01-31,,,,,,,,"“Station History (announce tape from fire week).”  Original material taped 10/1961, dubbed 1/1980.  Transfer of material made 8/2/ 98, Transfer #12.",Audio dub,local,,general,"Print Through, Audio Distortion, Audio Hiss",general,,,,,,,,,,,,Fundraiser,,,,,,,,,,,,,,,,,,,,,video recording identifier,158007,,,barcode158007_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode158007/PreservationMaster/barcode158007_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Making Things Work,,Default Unit,,Care of Books,2020-01-02,,,,,,1972-01-06,,"Host demonstrates how to care for book collections of viewers, describing how books react to different physical conditions, and offering advice on how to store and care for books so they don't mold and rot ",Green Label Master (WGBH program),local,,general,,general,,,,,,,,,,,,Educational,,,,,,Antiques and Collectibles,Home Improvement,,,,,,,,,,,,,,video recording identifier,159097,,,barcode159097.mov,,,https://avalon.wgbh.org/hls/avalon/22807/barcode159097/PreservationMaster/barcode159097.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
FRONTLINE,,Default Unit,,Behind the Mask: The IRA and Sinn Fein,2020-01-31,,,,,,,,IRA - replacement section  - 2:16:40short section of replacement audio in documentary,Audio Master (full mix),local,,general,"1/31/2020 SB: Content is very short. Dropouts are on the DAT., Audio Hum, Audio Hiss, End Cut Off",general,,,,,,,,,,,,Documentary,,,,,,History,,,,,,,,,,,,,,,video recording identifier,167706,,,barcode167706_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode167706/PreservationMaster/barcode167706_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-31,,,,,,1998-06-05,,"6/5/19983 PM AIRTIMEBroadcast of The World, hosted by Tony Khan, covering people fleeing Kosovo, and Iran's soccer team",Radio program (Master),local,,general,"Audio Distortion, Audio Pops and/or Clicks",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,Peoples of the Middle East,Peoples of Northern Asia,Music,,,,,,,,,,,,video recording identifier,174430,,,barcode174430_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode174430/PreservationMaster/barcode174430_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,Adlai Stevenson: Us Vietnam Policy,2020-02-07,,,,,,2065-05-14,,"An interview between BBC's Thomas Barman, Senior Diplomatic Correspondent, and Adlai Stevenson, United Nations Ambassador on American-Vietnamese policy. The interview took place just before Stevenson's death and includes discussions of American liberals' reactions to the Vietnam War, Stevenson's hopes for Vietnam, the role of the UN, and ways that peace might be reached.",Audio dub,local,,general,"Audio Hiss, Audio Pops and/or Clicks, Print Through, Audio Distortion, Audio Hum",general,,,,,,,,,,,,Interview,,,,,,Politics and Government,War and Global Conflict,,,,,,,,,,,,,,video recording identifier,183409,,,barcode183409_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183409/PreservationMaster/barcode183409_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,Tribute To Malvina Reynolds,2020-02-07,,,,,,,,"A tribute to Malvina Reynolds, a songwriter of many protest and activist songs. The program features songs written by Reynolds, including her best known songs ""Little Boxes"" and ""What Have They Done To The Rain"". Reynolds is also interviewed about her life and her thoughts on contemporary issues.",Radio program (Master),local,,general,"Audio Hum, Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Interview,,,,,,Music,Protest and Public Advocacy,Performing Arts,,,,,,,,,,,,,video recording identifier,183410,,,barcode183410_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183410/PreservationMaster/barcode183410_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,La Boheme,2020-02-07,,,,,,,,"Performance of Acts 3 and 4 of La Boheme, performed by members of the Cambridge Opera Workshop. Between Acts 3 and 4, a brief summary of the fourth act is provided. Reel 4 of 5, MONO.",Original recording,local,,general,"2/7/2020 SB: High frequencies fluctuate at the start., End Cut Off, Audio Hiss, Audio Distortion, Audio Pops and/or Clicks",general,,,,,,,,,,,,Performance in a Studio,,,,,,Music,Performing Arts,,,,,,,,,,,,,,video recording identifier,183411,,,barcode183411_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183411/PreservationMaster/barcode183411_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,La Boheme,2020-02-07,,,,,,1978-12-02,,"Performance of La Boheme, Act 3, performed by members of the Cambridge Opera Workshop. A brief summary of Act 3 is given, followed by its performance. Reel 3 of 5; Story of 3rd act of La Boheme; Nicholas Kasindis as Marcello; Elizabeth Feeney as Mimi; Rene Rencourt as Rudolph; Julia Shelley as Musette.  MONO",Original recording,local,,general,"2/7/2020 SB: High frequencies fluctuate at the start., End Cut Off, Audio Hiss, Audio Distortion, Audio Pops and/or Clicks",general,,,,,,,,,,,,Performance in a Studio,,,,,,Music,Performing Arts,,,,,,,,,,,,,,video recording identifier,183412,,,barcode183412_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183412/PreservationMaster/barcode183412_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,La Boheme,2020-02-07,,,,,,,,"Performance of La Boheme, performed by members of the Cambridge Opera Workshop. Reel 2 of 5, MONO",Original recording,local,,general,"2/7/2020 JF: False starts and speed fluctuations at the beginning are inherent to the reel., Audio Hiss, Beginning Cut Off, Audio Hum, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Performance in a Studio,,,,,,Music,Performing Arts,,,,,,,,,,,,,,video recording identifier,183413,,,barcode183413_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183413/PreservationMaster/barcode183413_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Et Cetera,,Default Unit,,Bringing It All Back Home,2020-02-07,,,,,,,,Fred Barzyk documentary about Bob Dylan's move from acoustic to electric - Bringing it All Back Home. The documentary features Bob Dylan's songs and opinions of his work from his fans.,Radio program (Master),local,,general,"2/7/2020 SB: Content starts with room tone., Audio Hiss, Audio Hum, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Documentary,,,,,,Music,,,,,,,,,,,,,,,video recording identifier,183414,,,barcode183414_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183414/PreservationMaster/barcode183414_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,Introduction To Owen Wingrave,2020-02-10,,,,,,,,"John Amis introduction to Owen Wingrave, an opera by Benjamin Britten. Amis interviews Myfanwy Piper, the librettist, and Colin Graham, the co-director, about the opera and how it came into being. The singers also provide information about their roles, including John Shirley-Quirk in the role of Spencer Coyle, Nigel Douglas in the role of Lechmere, Benjamin Luxon as Owen Wingrave, Heather Harper in the role of Mrs. Coyle, and Jennifer Vyvyan in the role of Mrs. Julian. Singer Peter Pears also gives an interview on working with Benjamin Britten, and the program ends with an interview with Benjamin Britten himself.Container Notes: Issue 22-71; John Amis; background hiss. may be broadcast twice prior to 9.30.1971 and not thereafter, pls. return tape.  Use as is or in conjunction with Opera Owen Wingrave",Radio program (Master),local,,general,"2/10/2020 SB: Content is progressively distorted and subtlety fluctuates as the recording progresses. This is on the reel., Audio Hiss, Audio Hum, Print Through, Audio Distortion, Audio Pops and/or Clicks, Audio Buzz",general,,,,,,,,,,,,Documentary,,,,,,Music,Performing Arts,,,,,,,,,,,,,,video recording identifier,183415,,,barcode183415_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode183415/PreservationMaster/barcode183415_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Making Things Grow,,Default Unit,,Mea Culpa,2020-02-10,,,,,,,,"#149Episode of Gardening show in which the host apologizes to her audience for insulting Ivy plants, and makes up for it by devoting an episode to their care. ",Backup master (WGBH program),local,N,general,"1/30/2020 JGi: Scratches throughout. , Audio Hiss, Video Noise, Video Picture Breaks up",general,,,,,,,,,,,,Educational,,,,,,Gardening,,,,,,,,,,,,,,,video recording identifier,183997,,,barcode183997.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode183997/PreservationMaster/barcode183997.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
La Plaza,,Default Unit,,Who's Cleaning Boston,2020-02-07,,,,,,,,"• LA PLAZA - WHO'S CLEANING BOSTON #15b roll of people employed as custodial staff going about their day, working in various locations. ",Original footage,local,,general,"1/21/2020 APr: Audio content underneath bars., Audio Hiss, Video Picture Breaks up",general,,,,,,,,,,,,Scenics / B-roll,,,,,,Film and Television,Employment and Labor,Local Communities,,,,,,,,,,,,,video recording identifier,192878,,,barcode192878.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode192878/PreservationMaster/barcode192878.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
La Plaza,,Default Unit,,Who's Cleaning Boston,2020-02-07,,,,,,,,"LA PLAZA - WHO'S CLEANING BOSTON #16b roll of people employed as custodial staff going about their day, working in various locations. ",Original footage,local,,general,"1/21/2020 APr: Audio content underneath bars. , Audio Hiss",general,,,,,,,,,,,,Scenics / B-roll,,,,,,Employment and Labor,Film and Telelvision,,,,,,,,,,,,,,video recording identifier,192879,,,barcode192879.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode192879/PreservationMaster/barcode192879.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,,,"Gays and Catholics, July 16Reporter: Meg VaillancourtNews Report on recently passed ban on employment discrimination based on sexual orientation",News Tape,local,,general,"1/23/2020 EMu: Breakups over bars at top. Static between bars at top. Breakups at bottom of frame due to poor tracking. Audio fluctuates between left and right channel. ; Analog Video Dropouts, Video Picture Breaks up, Audio Hiss",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,Social Issues - Homophobia,Politics and Government,Religion,Protest and Public Advocacy,Employment and Labor,Queer Affairs,Queer Affairs - Gay Affairs,Queer Affairs - Lesbian Affairs,Queer Affairs - Bisexual Affairs,,,,,,video recording identifier,193809,,,barcode193809.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193809/PreservationMaster/barcode193809.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,1978-03-10,,Cameras in court Byrne visualsReporter: GriffithSilent footage of news clippings and court artist renderings,News Tape,local,,general,"1/23/2020 EMu: No tone over bars at top. No audio. Static tail. No timecode.  , Analog Video Dropouts, Audio Hiss, Video Picture Breaks up, Audio Buzz",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,193810,,,barcode193810.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193810/PreservationMaster/barcode193810.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,1978-03-10,,"Silent panning footage of photos for use in news clip, including cameras in court, visals of district attorney Garrett H. ByrneReporter: Griffith",News Tape,local,,general,"1/22/2020 EMu: No tone over bars at top. No audio over footage. Black and white content. Transitional breakups. No timecode. , Analog Video Dropouts, Video Picture Breaks up",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,193811,,,barcode193811.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193811/PreservationMaster/barcode193811.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,1983-09-09,,"News Report on infrastructure, construction, and the Boston MDC, including interviews with Metropolitan District Commissioner William Geary, MA Representative for Quincy Thomas Browell, and an in-studio interview with John Buick, former MA Secretary of Environmental AffairsReporter: Meg VaillancourtMDC dub from show tape",News Tape,local,,general,"1/23/2020 EMu: Pops and clicks inherent to tape. Dropouts over footage at times. No timecode. Switch point present at times., No Bars and Tone, Audio Hiss, Analog Video Dropouts, Video Noise",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,Public Works,,,,,,,,,,,,,,video recording identifier,193814,,,barcode193814.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193814/PreservationMaster/barcode193814.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,,,"Meg Vaillancourt field tapeMen and Women Votersnews report on women dissatisfied with reagan administration, later interview about fishing",News Tape,local,,general,"1/22/2020 EMu: Audio over bars at top unrelated to footage. Multiple bars. Audio plays over bars at tail. Static between segments at times. Audio levels fluctuate between channels.  Rolling at tail inherent to tape. , Analog Video Dropouts, Video Picture Breaks up, Audio Hiss, End Cut Off",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,193815,,,barcode193815.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193815/PreservationMaster/barcode193815.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,1984-10-19,,"Meg Vaillancourt field tapeSpalding Gray, Oct. 1 (Air Date 10/19)Chronology: 1980sNews report and interview on spalding grey",News Tape,local,,general,"1/20/2020 EMu: Breakups over black at top. Rolling over bars at top inherent to tape. Two separate mono channels.  , Audio Hiss, Video Picture Breaks up",general,,,,,,,,,,,,News Report,,,,,,Theater,,,,,,,,,,,,,,,video recording identifier,193845,,,barcode193845.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193845/PreservationMaster/barcode193845.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,,,"Meg Vaillancourt field tapeToxic Resolve, Sept. 5Chronology: 1980snews report on toxic waste dumping",News Tape,local,,general,"1/17/2020 EMu: Two separate mono channels. No timecode., OK",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,193846,,,barcode193846.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193846/PreservationMaster/barcode193846.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,,,"Agent Orange, May 7Reporter: Meg VaillancourtNews Report on history of Agent Orange",News Tape,local,,general,"1/22/2020 EMu: Exposure fluctuates. Right channel not present at times. Two separate mono channels. No timecode., Analog Video Dropouts, Audio Hiss, Audio Low Levels, Video Picture Breaks up",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,Social Issues - Ableism,,,,,,,,,,,,,,video recording identifier,193933,,,barcode193933.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193933/PreservationMaster/barcode193933.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-01-29,,,,,,,,Meg VaillancourtComputers MasterNews Report on computer use in massachusetts,News Tape,local,,general,"1/23/2020 EMu: Right channel not present at times. Low levels in right channel. No timecode. Long black tail.  , Audio Low Levels, Analog Video Dropouts, Video Picture Breaks up",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,Technology,,,,,,,,,,,,,,video recording identifier,193934,,,barcode193934.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193934/PreservationMaster/barcode193934.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,1984-10-18,,"Ray Shamie as Republican US Senate candidate is compared to Reagan. Excerpt from debate with John Kerry sponsored by Herald. Clips from Reagan ad endorsing Shamie (in which he mispronounces Shamie's name), and Kerry ad in hardware store. Shamie criticizes Kerry for support of raising taxes to control deficit and fund domestic spending.Length: 4.18reporter: George",News Tape,local,,general,"1/20/2020 EMu: Audio fluctuates between channels. , Audio Hiss",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,,,,,,,,,,,,,,,video recording identifier,193935,,,barcode193935.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193935/PreservationMaster/barcode193935.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,,,"Meg Vaillancourt field tapeCitgo, Nov. 17news segment about citgo sign",News Tape,local,,general,"1/23/2020 EMu: No timecode., Audio Hiss, Analog Video Dropouts",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,Local Communities,,,,,,,,,,,,,,video recording identifier,193936,,,barcode193936.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193936/PreservationMaster/barcode193936.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-07,,,,,,,,"Meg Vaillancourt field tapeHigh Tech Dub, Nov. 12Chronology: 1980sNews Report on tech job fair",News Tape,local,,general,"1/23/2020 EMu: Brief audio in right channel at top of footage. Black between segments. Dropouts over footage occasionally. , No Bars and Tone, Audio Hiss, Analog Video Dropouts, Video Picture Breaks up",general,,,,,,,,,,,,News Report,,,,,,Technology,News and Current Events,,,,,,,,,,,,,,video recording identifier,193937,,,barcode193937.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193937/PreservationMaster/barcode193937.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-10,,,,,,,,"Meg Vaillancourt field tapeMoon for the Misbegotten, Jan. 11Chronology: 1980sNews Report field tape on theater play Moon for the Misbegotten",News Tape,local,,general,"1/23/2020 EMu: Tone levels fluctuate. Exposure fluctuates at times. No timecode., Analog Video Dropouts, Audio Hiss",general,,,,,,,,,,,,Interview,,,,,,News and Current Events,Theater,,,,,,,,,,,,,,video recording identifier,193938,,,barcode193938.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193938/PreservationMaster/barcode193938.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-10,,,,,,,,"Peter Sellars, Aug. 2Reporter: Meg VaillancourtNews Report field interview about puppetry ",News Tape,local,,general,"1/23/2020 EMu: Two separate mono channels. Right channel not present at times. No timecode. , Audio Hiss, Analog Video Dropouts, Video Picture Breaks up",general,,,,,,,,,,,,Interview,,,,,,Theater,,,,,,,,,,,,,,,video recording identifier,193940,,,barcode193940.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193940/PreservationMaster/barcode193940.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-10,,,,,,,,"News Report on fishing at Georges Bank, environmental concerns, footage of Michael Dukakis discussing risks of oil drilling, filmed July 9Reporter: Meg Vaillancourt",News Tape,local,,general,"1/23/2020 EMu: Dropouts over footage occasionally. Audio is low level in the right channel. Audio fluctuates between left and right channels. No timecode. , Analog Video Dropouts, Audio Hiss, Audio Low Levels",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,Politics and Government,Environmental Science,,,,,,,,,,,,,video recording identifier,193941,,,barcode193941.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193941/PreservationMaster/barcode193941.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-02-10,,,,,,,,Stevie WonderReporter: Meg VaillancourtNews report on Stevie Wonder and disability,News Tape,local,,general,"1/20/2020 EMu: Two separate mono channels. No timecode., Audio Low Levels, Audio Hiss",general,,,,,,,,,,,,News Report,,,,,,Social Issues - Ableism,News and Current Events,Protest and Public Advocacy,Technology,,,,,,,,,,,,video recording identifier,193942,,,barcode193942.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode193942/PreservationMaster/barcode193942.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
