Series Name,Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Note Type,Note,Publish,Hidden,File,Label,Offset,Skip Transcoding,Absolute Location
Say Brother,,,video recording identifier,228026,SAY BROTHER (General Series),,,,,,1968-07-15,A.Philp Randolph statue dedication part 3,,,,,,,,,,local,Original footage,general,,,,barcode228026.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228025,SAY BROTHER (General Series),,,,,,1968-07-15,A.Philp Randolph Plaque/ Back Bay station,,,,,,,,,,local,Original footage,general,,,,barcode228025.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228024,SAY BROTHER (General Series),,,,,,1968-07-15,A.Philp Randolph statue at rush hour.,,,,,,,,,,local,Original footage,general,,,,barcode228024.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228023,SAY BROTHER (General Series),,,,,,1968-07-15,Tina Allen interview (sculptor) A.Phillip Randolph,,,,,,,,,,local,Original footage,general,,,,barcode228023.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228022,SAY BROTHER (General Series),,,,,,1968-07-15,Theron Brown interview (S.C.P.) part 1,,,,,,,,,,local,Original footage,general,,,,barcode228022.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228021,SAY BROTHER (General Series),,,,,,1968-07-15,Theron Brown interview (S.C.P.) part 2,,,,,,,,,,local,Original footage,general,,,,barcode228021.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228020,SAY BROTHER (General Series),,,,,,1968-07-15,Badnick family interview part 1,,,,,,,,,,local,Original footage,general,,,,barcode228020.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228019,SAY BROTHER (General Series),,,,,,1968-07-15,Badnick family interview part 2,,,,,,,,,,local,Original footage,general,,,,barcode228019.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228018,SAY BROTHER (General Series),,,,,,1968-07-15,Hyannis: Walking tour of car w/Chef Chandler,,,,,,,,,,local,Original footage,general,,,,barcode228018.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227991,SAY BROTHER (General Series),,,,,,1968-07-15,"Cox Bldg. opening/ Rev. Haynes, Cruz etc....",,,,,,,,,,local,Original footage,general,,,,barcode227991.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227990,SAY BROTHER (General Series),,,,,,1968-07-15,Tenant Captains 1 tape #8,,,,,,,,,,local,Original footage,general,,,,barcode227990.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227989,SAY BROTHER (General Series),,,,,,1968-07-15,Tenant Captains 2 / Tenant Assn. meeting tape #9,,,,,,,,,,local,Original footage,general,,,,barcode227989.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227988,SAY BROTHER (General Series),,,,,,1968-07-15,Babatunde Olatunji : Workshop 1,,,,,,,,,,local,Original footage,general,,,,barcode227988.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228140,SAY BROTHER (General Series),,,,,,1968-07-15,Babatunde Olatunji : Workshop 3,,,,,,,,,,local,Original footage,general,,,,barcode228140.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228139,SAY BROTHER (General Series),,,,,,1968-07-15,Babatunde Olatunji interview 2,,,,,,,,,,local,Original footage,general,,,,barcode228139.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228138,SAY BROTHER (General Series),,,,,,1968-07-15,"Elliott's stand ups, intro to Babatunde Olatunji",,,,,,,,,,local,Original footage,general,,,,barcode228138.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228137,SAY BROTHER (General Series),,,,,,1968-07-15,Hattie Gossett interview,,,,,,,,,,local,Original footage,general,,,,barcode228137.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228136,SAY BROTHER (General Series),,,,,,1968-07-15,"Hattie Gossett ""Back at Ya"" at Dudley station",,,,,,,,,,local,Original footage,general,,,,barcode228136.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228126,In Search of the Blackamoor,,,,,,1989-02-09,James Spruill in (slo-mo),,,,,,,,,,local,Original footage,general,,,,barcode228126.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228134,In Search of the Blackamoor,,,,,,1989-02-09,Elliott's stand-up 2,,,,,,,,,,local,Original footage,general,,,,barcode228134.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228135,In Search of the Blackamoor,,,,,,1989-02-09,Elliott's stand-up 3,,,,,,,,,,local,Original footage,general,,,,barcode228135.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193811,Ten O'Clock News,,,,,,9999-01-01,"Cameras in court Byrne interview reel 2
 Reporter: Griffith",,,,,,,,,,local,News Tape,general,,,,barcode193811.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193810,Ten O'Clock News,,,,,,1976-01-01,"Cameras in court Byrne visual
 Reporter: Griffith",,,,,,,,,,local,News Tape,general,,,,barcode193810.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193809,Ten O'Clock News,,,,,,1976-01-01,"Cameras in court Byrne visuals
 Reporter: Griffith",,,,,,,,,,local,News Tape,general,,,,barcode193809.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193945,Ten O'Clock News,,,,,,9999-01-01,"Gays and Catholics, July 16
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193945.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193941,Ten O'Clock News,,,,,,9999-01-01,"Pages, May 16
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193941.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193942,Ten O'Clock News,,,,,,9999-01-01,"Georges Bank, July 9
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193942.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193943,Ten O'Clock News,,,,,,9999-01-01,"Stevie Wonder
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193943.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193939,Ten O'Clock News,,,,,,9999-01-01,"Duke / Drugs (SOT) Dec. 5
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193939.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193940,Ten O'Clock News,,,,,,9999-01-01,"Dubs 3: (BAD DUB) Computers, Traffic, Social Security, TV in the State House
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193940.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193933,Ten O'Clock News,,,,,,9999-01-01,"Peter Sellars, Aug. 2
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193933.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193815,Ten O'Clock News,,,,,,9999-01-01,"Agent Orange, May 7
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193815.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193814,Ten O'Clock News,,,,,,9999-01-01,"Meg Vaillancourt field tape
 Men and Women Voters",,,,,,,,,,local,News Tape,general,,,,barcode193814.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193936,Ten O'Clock News,,,,,,9999-01-01,"Meg Vaillancourt
 MDC dub from show tape",,,,,,,,,,local,News Tape,general,,,,barcode193936.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193845,Ten O'Clock News,,,,,,9999-01-01,"Meg Vaillancourt field tape
 Citgo, Nov. 17",,,,,,,,,,local,News Tape,general,,,,barcode193845.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193937,Ten O'Clock News,,,,,,9999-01-01,"Meg Vaillancourt field tape
 Spalding Gray, Oct. 1 (Air Date 10/19)
 Chronology: 1980s",,,,,,,,,,local,News Tape,general,,,,barcode193937.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193938,Ten O'Clock News,,,,,,9999-01-01,"Meg Vaillancourt field tape
 High Tech Dub, Nov. 12
 Chronology: 1980s",,,,,,,,,,local,News Tape,general,,,,barcode193938.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193846,Ten O'Clock News,,,,,,9999-01-01,"Meg Vaillancourt field tape
 Moon for the Misbegotten, Jan. 11
 Chronology: 1980s",,,,,,,,,,local,News Tape,general,,,,barcode193846.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193934,Ten O'Clock News,,,,,,9999-01-01,"Meg Vaillancourt field tape
 Toxic Resolve, Sept. 5
 Chronology: 1980s",,,,,,,,,,local,News Tape,general,,,,barcode193934.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193935,Ten O'Clock News,,,,,,9999-01-01,"Meg Vaillancourt
 Computers Master",,,,,,,,,,local,News Tape,general,,,,barcode193935.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,113152,Ten O'Clock News,,,,,,1976-01-01,"Ray Shamie as Republican US Senate candidate is compared to Reagan. Excerpt from debate with John Kerry sponsored by Herald. Clips from Reagan ad endorsing Shamie (in which he mispronounces Shamie's name), and Kerry ad in hardware store. Shamie criticizes Kerry for support of raising taxes to control deficit and fund domestic spending.
 
 Length: 4.18
 reporter: George",,,,,,,,,,local,News Tape,general,,,,barcode113152.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,193839,Ten O'Clock News,,,,,,9999-01-01,"Christy George field tape
 Navy at BC Jan. 21",,,,,,,,,,local,News Tape,general,,,,barcode193839.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194140,Ten O'Clock News,,,,,,9999-01-01,"Meg Vaillancourt field tape
 Education",,,,,,,,,,local,News Tape,general,,,,barcode194140.mkv,,,yes,nothing
NOVA,,,video recording identifier,295954,"KGB, the Computer and Me (The)",,,,,,1990-10-02,"Camera Rolls Y1, Y2
 Computer Espionage",,,,,,,,,,local,Original footage,general,,,,barcode295954.mkv,,,yes,nothing
NOVA,,,video recording identifier,295953,"KGB, the Computer and Me (The)",,,,,,1990-10-02,"Camera Rolls Y3, Y4
 Computer Espionage",,,,,,,,,,local,Original footage,general,,,,barcode295953.mkv,,,yes,nothing
NOVA,,,video recording identifier,295952,"KGB, the Computer and Me (The)",,,,,,1990-10-02,"Camera Rolls Y5, Y6
 Computer Espionage",,,,,,,,,,local,Original footage,general,,,,barcode295952.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228048,SAY BROTHER (General Series),,,,,,1968-07-15,Black Studies Teleconference part 5,,,,,,,,,,local,Original footage,general,,,,barcode228048.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228051,SAY BROTHER (General Series),,,,,,1968-07-15,Black Studies Teleconference part 7,,,,,,,,,,local,Original footage,general,,,,barcode228051.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228050,SAY BROTHER (General Series),,,,,,1968-07-15,Black Studies Teleconference part 8,,,,,,,,,,local,Original footage,general,,,,barcode228050.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228049,SAY BROTHER (General Series),,,,,,1968-07-15,Black Studies Teleconference part 9,,,,,,,,,,local,Original footage,general,,,,barcode228049.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228036,SAY BROTHER (General Series),,,,,,1968-07-15,"""Good News"" Gospel group @ Shiloh Baptist",,,,,,,,,,local,Original footage,general,,,,barcode228036.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228039,Will Roxbury Secede,,,,,,1986-03-20,Councilor Bruce Bolling interview re: Roxbury secession 1986 pt 1,,,,,,,,,,local,Original footage,general,,,,barcode228039.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228038,SAY BROTHER (General Series),,,,,,1968-07-15,1983 Boston Mayor visuals - exteriors of Mel King and Ray Flynn headquarters,,,,,,,,,,local,Original footage,general,,,,barcode228038.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228037,SAY BROTHER (General Series),,,,,,1968-07-15,"""Good News"" - Shiloh Baptist Church",,,,,,,,,,local,Original footage,general,,,,barcode228037.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229498,Malcolm X,,,,,,1974-02-20,"Malcolm X hats and apparel , B-Roll of people, Downtown Boston.",,,,,,,,,,local,Original footage,general,,,,barcode229498.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229500,Malcolm X,,,,,,1974-02-20,"Malcolm Jarvis (""Shorty"" ), Malcolm X's friend, interview 1.",,,,,,,,,,local,Original footage,general,,,,barcode229500.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229477,Malcolm X,,,,,,1974-02-20,"Malcolm Jarvis (""Shorty"" ), Malcolm X's friend, interview 2.",,,,,,,,,,local,Original footage,general,,,,barcode229477.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229497,Malcolm X,,,,,,1974-02-20,"Malcolm Jarvis (""Shorty"" ), Malcolm X's friend, interview 3.",,,,,,,,,,local,Original footage,general,,,,barcode229497.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229476,Malcolm X,,,,,,1974-02-20,"Richard DeLuca Trio w/ Malcolm Jarvis (""Shorty"" ) on trumpet 1.",,,,,,,,,,local,Original footage,general,,,,barcode229476.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229499,Malcolm X,,,,,,1974-02-20,"Richard DeLuca Trio w/ Malcolm Jarvis (""Shorty"" ) on trumpet 2.",,,,,,,,,,local,Original footage,general,,,,barcode229499.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229383,SAY BROTHER (General Series),,,,,,1968-07-15,"No Visible Means Of Support acapella performance in-studio, several takes.",,,,,,,,,,local,Original footage,general,,,,barcode229383.mkv,,,yes,nothing
Say Brother,,,video recording identifier,100164,SAY BROTHER (General Series),,,,,,1968-07-15,"1992. Carol Moseley-Braun. footage shot in Chicago. Tape opens with footage of St. Patricks Day parade in Chicago, brief shot of Bill Clinton marching in parade.Exteriors of First Baptist Church of Chicago; speech by Carol Moseley-Braun",,,,,,,,,,local,Original footage,general,,,,barcode100164.mkv,,,yes,nothing
Say Brother,,,video recording identifier,117067,SAY BROTHER (General Series),,,,,,1968-07-15,Ruth Batson interview on Black Institutions,,,,,,,,,,local,Original footage,general,,,,barcode117067.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229450,SAY BROTHER (General Series),,,,,,1968-07-15,"Robert Guillaume, performance singing",,,,,,,,,,local,Original footage,general,,,,barcode229450.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229449,SAY BROTHER (General Series),,,,,,1968-07-15,"interview Maurice White and Philip Bailey of Earth, Wind and Fire",,,,,,,,,,local,Original footage,general,,,,barcode229449.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229448,SAY BROTHER (General Series),,,,,,1968-07-15,"Earth, Wind, and Fire performance pt. 1",,,,,,,,,,local,Original footage,general,,,,barcode229448.mkv,,,yes,nothing
Say Brother,,,video recording identifier,229446,SAY BROTHER (General Series),,,,,,1968-07-15,"Earth, Wind, and Fire performance pt. 2",,,,,,,,,,local,Original footage,general,,,,barcode229446.mkv,,,yes,nothing
Crockett's Victory Garden,,,video recording identifier,273402,Victory Garden 417,,,Instructional,,,1905-06-01,Original Footage of Bob Thompsons's introduction to Crockett's Victory Garden. Thompson does multiple takes.,,,,,"Agriculture and Farming, Gardening",,,,,local,Green Label Master (WGBH program),general,Instructional,,,barcode273402.mov,,,yes,nothing
NHK Music Project,,,video recording identifier,227939,Welcome to Austria,,,,,,9999-01-01,,,,,,,,,,,local,Radio program (Master),general,,,,barcode227939_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203070,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203070_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203071,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203071_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203072,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,yes,nothing
Reading Aloud,,,video recording identifier,203075,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203075_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203073,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203073_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203074,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,yes,nothing
Reading Aloud,,,video recording identifier,202923,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202923_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202921,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202921_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202922,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,yes,nothing
Reading Aloud,,,video recording identifier,202920,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202920_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202918,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202918_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202919,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,yes,nothing
Reading Aloud,,,video recording identifier,202916,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202916_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202915,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202915_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202914,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,local,Radio program (Master),general,,,,,,,yes,nothing
Reading Aloud,,,video recording identifier,202917,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202917_01.wa,,,yes,nothing
Reading Aloud,,,video recording identifier,203067,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203067_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203069,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203069_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203068,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203068_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203061,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203061_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203062,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203062_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203066,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode203066_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,203063,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode203063_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202907,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202907_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202912,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202912_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202910,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202910_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202909,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202909_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202913,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202913_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202897,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202897_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202899,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202899_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202898,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202898_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202900,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202900_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202901,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202901_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202902,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202902_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202903,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202903_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202904,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,local,Radio program (Master),general,,,,barcode202904_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,202905,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,local,Radio program (Master),general,,,,barcode202905_01.wav,,,yes,nothing
NOVA,,,video recording identifier,297729,Hidden City (The),,,,,,1989-10-03,On Camera Interview about NYC water system,,,,,,,,,,local,Original footage,general,,,,barcode297729.mkv,,,yes,nothing
NOVA,,,video recording identifier,297726,Hidden City (The),,,,,,1989-10-03,B Roll NY harbor - tug boat moving boat - ships,,,,,,,,,,local,Original footage,general,,,,barcode297726.mkv,,,yes,nothing
NOVA,,,video recording identifier,297728,Hidden City (The),,,,,,1989-10-03,B Roll of a dam,,,,,,,,,,local,Original footage,general,,,,barcode297728.mkv,,,yes,nothing
,,,video recording identifier,155561,Macleish,,,,,,9999-01-01,"77-3044-00-00-002 Macleish 7""",,,,,,,,,,local,Radio program (Master),general,,,,barcode155561_01.wav,,,yes,nothing
,,,video recording identifier,155551,Sam Allen,,,,,,9999-01-01,"77-3029-00-00-001 Sam Allen 7""",,,,,,,,,,local,Radio program (Master),general,,,,barcode155551_01.wav,,,yes,nothing
,,,video recording identifier,155563,Herman Melville,,,,,,9999-01-01,"77-3047-00-00-001 Herman Melville 7"" Tim Sheldon",,,,,,,,,,local,Radio program (Master),general,,,,barcode155563_01.wav,,,yes,nothing
,,,video recording identifier,155545,Sylvia Plath,,,,,,9999-01-01,"77-3049-00-00-001 Sylvia Plath 7""",,,,,,,,,,local,Radio program (Master),general,,,,barcode155545_01.wav,,,yes,nothing
,,,video recording identifier,155550,Sylvia Plath,,,,,,9999-01-01,"77-5000-00-00-001 Sylvia Plath 7""",,,,,,,,,,local,Radio program (Master),general,,,,barcode155550_01.wav,,,yes,nothing
Spider's Web,,,video recording identifier,155537,E.B. White: Charlotte's Web,,,,,,1905-05-30,"77-0124-00-26-002 Spider's Web Charlotte's Web #2 12/1977 Master 7"" reel 2 of 9",,,,,,,,,,local,Radio program (Master),general,,,,barcode155537_01.wav,,,yes,nothing
NOVA,,,video recording identifier,229832,Great Moments From NOVA (1993),,,,,,1993-12-07,523 Close/end montage,,,,,,,,,,local,Original footage,general,,,,barcode229832.mkv,,,yes,nothing
"World, The",,,video recording identifier,102444,"World, The (General Series)",,,News Report,,,1996-12-31,"Episode 1.
 Tony Kahn and Mary Ambrose host, Kimberly Dozier contributes. News focuses on events in the Middle East, South Africa's constitution, conflict in Bosnia, the sport of Freestyling. 
 
 Episode 2. 
 Tony Kahn and Eddie Mayor host. News focuses on conflict in Iraq, politics in Israel, and drive-in bingo in Ireland.",,,,,"News and Current Events, Global Affairs, Peoples of the Middle East, Peoples of Eastern Europe, Peoples of Southern Africa, Peoples of Western Europe",,,,,local,Radio program (Master),general,News Report,,,barcode102444_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214900,"World, The (General Series)",,,,,,1997-11-03,"11/3/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214900_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214899,"World, The (General Series)",,,,,,1997-11-04,"11/4/1997
 AIR MASTER - 4 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214899_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214898,"World, The (General Series)",,,,,,1997-11-05,"11/5/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214898_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214889,"World, The (General Series)",,,,,,1997-11-20,"11/20/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214889_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214888,"World, The (General Series)",,,,,,1997-11-21,"11/21/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214888_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214887,"World, The (General Series)",,,,,,1997-11-24,"11/24/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214887_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214886,"World, The (General Series)",,,,,,1997-11-25,"11/25/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214886_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214884,"World, The (General Series)",,,,,,1997-11-27,"11/27/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214884_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214883,"World, The (General Series)",,,,,,1997-11-28,"11/28/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214883_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214882,"World, The (General Series)",,,,,,1997-12-01,"12/1/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214882_01.wav,,,yes,nothing
"World, The",,,video recording identifier,214875,"World, The (General Series)",,,,,,1997-12-10,"12/10/1997
 AIR MASTER - 6 P.M.",,,,,,,,,,local,Radio program (Master),general,,,,barcode214875_01.wav,,,yes,nothing
